,package_name,outDegree,isolatingCoefficient,isolatingCentrality,bin,ossf_score
0,nanolocation,1,2,2,"(-57.508, 2875.4]",2.8
1,minimal-timer,0,0,0,"(-57.508, 2875.4]",1.1
2,to-fast-properties,0,6,0,"(-57.508, 2875.4]",3.9
3,@flopflip/types,1,1,1,"(-57.508, 2875.4]",5.5
4,caller-id,1,6,6,"(-57.508, 2875.4]",2.6
5,node-red-contrib-later,2,0,0,"(-57.508, 2875.4]",2.7
6,react-merge-refs,0,0,0,"(-57.508, 2875.4]",3.6
7,stripe-cli,10,0,0,"(-57.508, 2875.4]",2.7
10,asar,10,7,70,"(-57.508, 2875.4]",7.8
11,s3-autoindex,6,0,0,"(-57.508, 2875.4]",2.4
12,@mrbuilder/utils,2,1,2,"(-57.508, 2875.4]",2.4
13,screwdriver-cache-service,0,0,0,"(-57.508, 2875.4]",2.6
14,lodash.invert,2,2,4,"(-57.508, 2875.4]",4.9
15,socket.io,17,262,4454,"(2875.4, 5750.8]",5.9
16,stylelint,73,42,3066,"(2875.4, 5750.8]",7.0
17,less,17,199,3383,"(2875.4, 5750.8]",4.4
29,less,17,199,3383,"(2875.4, 5750.8]",4.4
18,d3,31,134,4154,"(2875.4, 5750.8]",4.6
19,vue,7,805,5635,"(2875.4, 5750.8]",6.2
20,ora,13,307,3991,"(2875.4, 5750.8]",4.2
21,readable-stream,15,362,5430,"(2875.4, 5750.8]",5.0
22,meow,19,259,4921,"(2875.4, 5750.8]",4.4
23,babel-eslint,17,285,4845,"(2875.4, 5750.8]",3.7
25,async,2,1504,3008,"(2875.4, 5750.8]",5.5
26,axios,5,1020,5100,"(2875.4, 5750.8]",6.1
27,aws-sdk,13,244,3172,"(2875.4, 5750.8]",5.7
28,superagent,15,247,3705,"(2875.4, 5750.8]",5.8
30,prop-types,4,1625,6500,"(5750.8, 8626.2]",5.2
37,prop-types,4,1625,6500,"(5750.8, 8626.2]",5.2
41,prop-types,4,1625,6500,"(5750.8, 8626.2]",5.2
31,babel-preset-env,39,196,7644,"(5750.8, 8626.2]",2.3
36,babel-preset-env,39,196,7644,"(5750.8, 8626.2]",2.3
32,react-scripts,77,94,7238,"(5750.8, 8626.2]",4.8
42,react-scripts,77,94,7238,"(5750.8, 8626.2]",4.8
43,react-scripts,77,94,7238,"(5750.8, 8626.2]",4.8
33,react-native,141,43,6063,"(5750.8, 8626.2]",5.2
34,eslint-plugin-import,34,251,8534,"(5750.8, 8626.2]",5.3
35,css-loader,24,334,8016,"(5750.8, 8626.2]",6.6
44,css-loader,24,334,8016,"(5750.8, 8626.2]",6.6
38,@babel/core,20,355,7100,"(5750.8, 8626.2]",6.7
39,babel-preset-es2015,26,256,6656,"(5750.8, 8626.2]",6.7
40,babel-preset-es2015,26,256,6656,"(5750.8, 8626.2]",6.7
45,mocha,34,293,9962,"(8626.2, 11501.6]",7.3
52,mocha,34,293,9962,"(8626.2, 11501.6]",7.3
55,mocha,34,293,9962,"(8626.2, 11501.6]",7.3
59,mocha,34,293,9962,"(8626.2, 11501.6]",7.3
46,ember-cli-babel,36,277,9972,"(8626.2, 11501.6]",4.2
51,ember-cli-babel,36,277,9972,"(8626.2, 11501.6]",4.2
47,node-sass,36,257,9252,"(8626.2, 11501.6]",4.3
48,node-sass,36,257,9252,"(8626.2, 11501.6]",4.3
56,node-sass,36,257,9252,"(8626.2, 11501.6]",4.3
57,node-sass,36,257,9252,"(8626.2, 11501.6]",4.3
49,glob,11,1021,11231,"(8626.2, 11501.6]",4.3
50,styled-components,39,260,10140,"(8626.2, 11501.6]",5.7
53,styled-components,39,260,10140,"(8626.2, 11501.6]",5.7
54,styled-components,39,260,10140,"(8626.2, 11501.6]",5.7
58,styled-components,39,260,10140,"(8626.2, 11501.6]",5.7
60,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
61,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
65,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
69,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
70,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
73,gulp-util,26,454,11804,"(11501.6, 14377.0]",3.9
62,webpack-dev-server,55,228,12540,"(11501.6, 14377.0]",6.9
68,webpack-dev-server,55,228,12540,"(11501.6, 14377.0]",6.9
63,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
64,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
67,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
71,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
72,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
74,cheerio,30,432,12960,"(11501.6, 14377.0]",7.2
66,fs-extra,9,1502,13518,"(11501.6, 14377.0]",4.7
75,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
76,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
78,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
79,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
80,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
82,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
84,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
85,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
86,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
87,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
88,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
89,chalk,6,2637,15822,"(14377.0, 17252.4]",4.5
77,yargs,21,772,16212,"(14377.0, 17252.4]",6.4
81,yargs,21,772,16212,"(14377.0, 17252.4]",6.4
83,yargs,21,772,16212,"(14377.0, 17252.4]",6.4
90,react,11,1620,17820,"(17252.4, 20127.8]",5.2
91,react,11,1620,17820,"(17252.4, 20127.8]",5.2
92,react,11,1620,17820,"(17252.4, 20127.8]",5.2
93,react,11,1620,17820,"(17252.4, 20127.8]",5.2
94,react,11,1620,17820,"(17252.4, 20127.8]",5.2
95,react,11,1620,17820,"(17252.4, 20127.8]",5.2
96,react,11,1620,17820,"(17252.4, 20127.8]",5.2
97,react,11,1620,17820,"(17252.4, 20127.8]",5.2
98,react,11,1620,17820,"(17252.4, 20127.8]",5.2
99,react,11,1620,17820,"(17252.4, 20127.8]",5.2
100,react,11,1620,17820,"(17252.4, 20127.8]",5.2
101,react,11,1620,17820,"(17252.4, 20127.8]",5.2
102,react,11,1620,17820,"(17252.4, 20127.8]",5.2
103,react,11,1620,17820,"(17252.4, 20127.8]",5.2
104,react,11,1620,17820,"(17252.4, 20127.8]",5.2
105,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
106,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
108,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
109,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
110,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
112,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
114,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
115,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
116,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
117,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
118,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
119,@babel/preset-env,104,198,20592,"(20127.8, 23003.2]",6.7
107,inquirer,31,666,20646,"(20127.8, 23003.2]",6.4
111,inquirer,31,666,20646,"(20127.8, 23003.2]",6.4
113,inquirer,31,666,20646,"(20127.8, 23003.2]",6.4
