,package_name,forks,bin,ossf_score
0,yaver,1,"(-78.741, 3937.05]",1.6
1,varuint-bitcoin,7,"(-78.741, 3937.05]",4.7
2,git-node,3,"(-78.741, 3937.05]",3.0
3,twiglint,2,"(-78.741, 3937.05]",1.5
4,is-admin,3,"(-78.741, 3937.05]",3.3
5,superagent-mock,46,"(-78.741, 3937.05]",4.3
6,clusterize.js,414,"(-78.741, 3937.05]",2.5
7,@react-native-windows/cli,1134,"(-78.741, 3937.05]",6.6
8,postcss-class-repeat,0,"(-78.741, 3937.05]",3.0
9,stemhost,0,"(-78.741, 3937.05]",2.6
10,autobahn,228,"(-78.741, 3937.05]",3.6
11,grunt-images-map,0,"(-78.741, 3937.05]",2.6
12,@nivo/calendar,1021,"(-78.741, 3937.05]",4.2
13,object-get,2,"(-78.741, 3937.05]",1.8
14,test-npm-package-not-taken,2,"(-78.741, 3937.05]",2.4
15,video.js,7428,"(3937.05, 7874.1]",4.5
16,@expo/config-types,4954,"(3937.05, 7874.1]",5.1
17,babel-plugin-syntax-optional-catch-binding,5596,"(3937.05, 7874.1]",6.7
18,@babel/plugin-transform-unicode-sets-regex,5633,"(3937.05, 7874.1]",6.7
19,backbone,5386,"(3937.05, 7874.1]",4.2
20,babel-plugin-transform-react-display-name,5615,"(3937.05, 7874.1]",6.7
21,jest-docblock,6434,"(3937.05, 7874.1]",6.1
22,@babel/plugin-proposal-optional-chaining,5632,"(3937.05, 7874.1]",6.7
23,@babel/helpers,5633,"(3937.05, 7874.1]",6.7
24,@pixi/display,4755,"(3937.05, 7874.1]",4.5
25,babel-cli,5632,"(3937.05, 7874.1]",6.7
26,expo-react-native-adapter,4954,"(3937.05, 7874.1]",5.1
27,jest-resolve,6431,"(3937.05, 7874.1]",6.1
28,lodash.unset,6995,"(3937.05, 7874.1]",4.9
29,babel-plugin-transform-jscript,5615,"(3937.05, 7874.1]",6.7
30,gatsby-legacy-polyfills,10329,"(7874.1, 11811.15]",7.2
31,harb,7999,"(7874.1, 11811.15]",3.1
32,@storybook/node-logger,9216,"(7874.1, 11811.15]",5.8
42,@storybook/node-logger,9216,"(7874.1, 11811.15]",5.8
33,@dwdjs/doc,9465,"(7874.1, 11811.15]",6.5
34,@storybook/core,9216,"(7874.1, 11811.15]",5.8
35,@storybook/client-logger,9216,"(7874.1, 11811.15]",5.8
36,storybook-handlebars,9215,"(7874.1, 11811.15]",5.8
37,@storybook/addon-info,9141,"(7874.1, 11811.15]",5.8
38,gatsby-remark-copy-linked-files,10327,"(7874.1, 11811.15]",7.2
39,babel-preset-gatsby,10327,"(7874.1, 11811.15]",7.2
40,swagger-custom-ui,8911,"(7874.1, 11811.15]",7.3
41,gatsby-link,10327,"(7874.1, 11811.15]",7.2
43,@storybook/addons,9216,"(7874.1, 11811.15]",5.8
44,gatsby-transformer-json,10327,"(7874.1, 11811.15]",7.2
45,element-ui-xuechuang,14635,"(11811.15, 15748.2]",4.1
46,@fortawesome/free-regular-svg-icons,12198,"(11811.15, 15748.2]",3.7
47,@angular-cli/base-href-webpack,11980,"(11811.15, 15748.2]",7.6
48,@fortawesome/free-solid-svg-icons,12198,"(11811.15, 15748.2]",3.7
49,bs-ui,14632,"(11811.15, 15748.2]",4.1
50,express,15517,"(11811.15, 15748.2]",6.2
51,lsh-components-ui,14628,"(11811.15, 15748.2]",4.1
52,@sailshq/express,15460,"(11811.15, 15748.2]",6.2
53,@angular-devkit/build-webpack,11981,"(11811.15, 15748.2]",7.6
54,@fivepointseven/electron,15151,"(11811.15, 15748.2]",6.8
55,element-ui,14637,"(11811.15, 15748.2]",4.1
56,@types/typescript-services,12306,"(11811.15, 15748.2]",8.5
57,@fortawesome/fontawesome-free-brands,12188,"(11811.15, 15748.2]",3.7
58,@types/redux,15288,"(11811.15, 15748.2]",5.5
59,@fortawesome/free-brands-svg-icons,12198,"(11811.15, 15748.2]",3.7
60,animate.css,16225,"(15748.2, 19685.25]",5.2
61,animate.css,16225,"(15748.2, 19685.25]",5.2
65,animate.css,16225,"(15748.2, 19685.25]",5.2
69,animate.css,16225,"(15748.2, 19685.25]",5.2
70,animate.css,16225,"(15748.2, 19685.25]",5.2
73,animate.css,16225,"(15748.2, 19685.25]",5.2
62,reveal.js,16605,"(15748.2, 19685.25]",4.1
68,reveal.js,16605,"(15748.2, 19685.25]",4.1
63,admin-lte,18172,"(15748.2, 19685.25]",5.4
64,admin-lte,18172,"(15748.2, 19685.25]",5.4
67,admin-lte,18172,"(15748.2, 19685.25]",5.4
71,admin-lte,18172,"(15748.2, 19685.25]",5.4
72,admin-lte,18172,"(15748.2, 19685.25]",5.4
74,admin-lte,18172,"(15748.2, 19685.25]",5.4
66,echarts,19599,"(15748.2, 19685.25]",6.2
75,jquery-component,20617,"(19685.25, 23622.3]",7.2
82,jquery-component,20617,"(19685.25, 23622.3]",7.2
85,jquery-component,20617,"(19685.25, 23622.3]",7.2
89,jquery-component,20617,"(19685.25, 23622.3]",7.2
76,jquery-commonjs,20617,"(19685.25, 23622.3]",7.2
81,jquery-commonjs,20617,"(19685.25, 23622.3]",7.2
77,nd-jquery,20603,"(19685.25, 23622.3]",7.2
78,nd-jquery,20603,"(19685.25, 23622.3]",7.2
86,nd-jquery,20603,"(19685.25, 23622.3]",7.2
87,nd-jquery,20603,"(19685.25, 23622.3]",7.2
79,d3,22868,"(19685.25, 23622.3]",4.6
