,package_name,outDegree,isolatingCoefficient,isolatingCentrality,bin,ossf_score
0,feincms-blogs,4,0,0,"(-88.011, 4400.55]",2.6
1,odoo8-addon-l10n-it-split-payment,0,1,0,"(-88.011, 4400.55]",2.6
2,azure-mgmt-rdbms,5,1,5,"(-88.011, 4400.55]",6.6
3,requests-ntlm,5,6,30,"(-88.011, 4400.55]",3.1
4,python-http-client,0,1,0,"(-88.011, 4400.55]",4.1
5,openerp-core,18,7,126,"(-88.011, 4400.55]",4.1
6,pyobjc-framework-corewlan,2,1,2,"(-88.011, 4400.55]",3.7
7,pyprind,0,1,0,"(-88.011, 4400.55]",2.7
8,exgutils,0,0,0,"(-88.011, 4400.55]",2.7
9,jupyter-fs,24,1,24,"(-88.011, 4400.55]",6.8
10,django-elastic,0,0,0,"(-88.011, 4400.55]",6.8
11,h1,2,0,0,"(-88.011, 4400.55]",2.2
12,qpropgen,2,0,0,"(-88.011, 4400.55]",4.0
13,pyture-remo,1,0,0,"(-88.011, 4400.55]",2.2
14,scikit-validate,17,0,0,"(-88.011, 4400.55]",2.2
15,zope,61,87,5307,"(4400.55, 8801.1]",6.8
22,zope,61,87,5307,"(4400.55, 8801.1]",6.8
26,zope,61,87,5307,"(4400.55, 8801.1]",6.8
16,scikit-learn,33,214,7062,"(4400.55, 8801.1]",8.9
21,scikit-learn,33,214,7062,"(4400.55, 8801.1]",8.9
17,transformers,101,59,5959,"(4400.55, 8801.1]",4.8
27,transformers,101,59,5959,"(4400.55, 8801.1]",4.8
28,transformers,101,59,5959,"(4400.55, 8801.1]",4.8
18,flask,15,324,4860,"(4400.55, 8801.1]",6.8
19,importlib-metadata,30,277,8310,"(4400.55, 8801.1]",7.0
20,cryptography,39,183,7137,"(4400.55, 8801.1]",8.7
29,cryptography,39,183,7137,"(4400.55, 8801.1]",8.7
23,sqlalchemy,22,255,5610,"(4400.55, 8801.1]",6.0
24,flake8,11,499,5489,"(4400.55, 8801.1]",5.5
25,flake8,11,499,5489,"(4400.55, 8801.1]",5.5
30,pytest-cov,11,818,8998,"(8801.1, 13201.65]",5.5
35,pytest-cov,11,818,8998,"(8801.1, 13201.65]",5.5
43,pytest-cov,11,818,8998,"(8801.1, 13201.65]",5.5
31,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
32,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
34,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
36,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
37,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
38,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
39,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
40,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
41,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
44,matplotlib,17,561,9537,"(8801.1, 13201.65]",8.4
33,ipython,48,206,9888,"(8801.1, 13201.65]",5.6
42,ipython,48,206,9888,"(8801.1, 13201.65]",5.6
45,tox,56,240,13440,"(13201.65, 17602.2]",6.2
46,tox,56,240,13440,"(13201.65, 17602.2]",6.2
47,tox,56,240,13440,"(13201.65, 17602.2]",6.2
48,tox,56,240,13440,"(13201.65, 17602.2]",6.2
49,tox,56,240,13440,"(13201.65, 17602.2]",6.2
50,tox,56,240,13440,"(13201.65, 17602.2]",6.2
51,tox,56,240,13440,"(13201.65, 17602.2]",6.2
52,tox,56,240,13440,"(13201.65, 17602.2]",6.2
53,tox,56,240,13440,"(13201.65, 17602.2]",6.2
54,tox,56,240,13440,"(13201.65, 17602.2]",6.2
55,tox,56,240,13440,"(13201.65, 17602.2]",6.2
56,tox,56,240,13440,"(13201.65, 17602.2]",6.2
57,tox,56,240,13440,"(13201.65, 17602.2]",6.2
58,tox,56,240,13440,"(13201.65, 17602.2]",6.2
59,tox,56,240,13440,"(13201.65, 17602.2]",6.2
60,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
61,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
62,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
63,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
64,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
65,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
66,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
67,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
68,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
69,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
70,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
71,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
72,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
73,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
74,requests,12,1651,19812,"(17602.2, 22002.75]",8.6
75,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
76,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
78,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
79,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
80,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
82,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
84,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
85,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
86,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
87,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
88,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
89,scipy,36,629,22644,"(22002.75, 26403.3]",5.8
77,pandas,44,583,25652,"(22002.75, 26403.3]",6.7
81,pandas,44,583,25652,"(22002.75, 26403.3]",6.7
83,pandas,44,583,25652,"(22002.75, 26403.3]",6.7
105,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
106,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
107,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
108,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
109,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
110,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
111,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
112,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
113,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
114,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
115,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
116,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
117,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
118,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
119,sphinx,52,996,51792,"(48406.05, 52806.6]",6.4
120,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
121,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
122,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
123,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
124,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
125,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
126,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
127,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
128,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
129,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
130,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
131,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
132,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
133,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
134,setuptools,63,1397,88011,"(83610.45, 88011.0]",5.9
