,package_name,forks,bin,ossf_score
0,django-webtest,68,"(-74.167, 3708.35]",4.0
1,python-tuenti,2,"(-74.167, 3708.35]",2.7
2,harrytsz,0,"(-74.167, 3708.35]",2.3
3,pokershell,4,"(-74.167, 3708.35]",2.6
4,virtualenvrunner,2,"(-74.167, 3708.35]",2.5
5,causal-conv1d,39,"(-74.167, 3708.35]",2.8
6,odoo12-addon-l10n-it-split-payment,297,"(-74.167, 3708.35]",4.9
7,flask-socketio,888,"(-74.167, 3708.35]",5.0
8,blake2b-py,18,"(-74.167, 3708.35]",3.8
9,silverware,0,"(-74.167, 3708.35]",2.6
10,numpyro,223,"(-74.167, 3708.35]",5.8
11,mdformat-gfm,2,"(-74.167, 3708.35]",3.3
12,slippersz,0,"(-74.167, 3708.35]",2.6
13,pansi,0,"(-74.167, 3708.35]",3.1
14,cppimport,68,"(-74.167, 3708.35]",3.6
15,ray,5578,"(3708.35, 7416.7]",6.1
16,aws-cdk.aws-kendra,3747,"(3708.35, 7416.7]",5.7
17,aws-cdk.aws-synthetics,3747,"(3708.35, 7416.7]",5.7
18,aws-cdk.aws-sagemaker,3747,"(3708.35, 7416.7]",5.7
19,aws-cdk.aws-finspace,3747,"(3708.35, 7416.7]",5.7
20,aws-cdk.aws-cloud9,3747,"(3708.35, 7416.7]",5.7
21,aws-cdk.aws-appsync,3747,"(3708.35, 7416.7]",5.7
22,aws-cdk.aws-lex,3747,"(3708.35, 7416.7]",5.7
23,aws-cdk.aws-autoscalingplans,3747,"(3708.35, 7416.7]",5.7
24,aws-cdk.aws-backupgateway,3747,"(3708.35, 7416.7]",5.7
25,aws-cdk.aws-codepipeline,3747,"(3708.35, 7416.7]",5.7
26,aws-cdk.aws-kinesisanalytics,3747,"(3708.35, 7416.7]",5.7
27,aws-cdk.aws-fsx,3747,"(3708.35, 7416.7]",5.7
28,aws-cdk.aws-config,3747,"(3708.35, 7416.7]",5.7
29,aws-cdk.cx-api,3747,"(3708.35, 7416.7]",5.7
30,matplotlib,7562,"(7416.7, 11125.05]",8.4
37,matplotlib,7562,"(7416.7, 11125.05]",8.4
41,matplotlib,7562,"(7416.7, 11125.05]",8.4
31,scrapy,10411,"(7416.7, 11125.05]",5.9
